City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mahajanga,20,MG,1585698666,88,-15.72,46.32,78.80000000000001,2.23694
Lloydminster,20,CA,1585698435,60,53.28,-110.0,10.399999999999999,16.105968
Salalah,40,OM,1585698667,88,17.02,54.09,80.6,1.11847
Dikson,100,RU,1585698667,93,73.51,80.55,-3.31599999999996,4.2949248
Seoul,20,KR,1585697999,34,37.57,126.98,51.8,4.2278166
Cape Town,20,ZA,1585698260,72,-33.93,18.42,62.99600000000005,18.342908
Coquimbo,20,CL,1585698667,87,-29.95,-71.34,60.8,8.052984
Ponta do Sol,20,PT,1585698668,67,32.67,-17.1,59.0,13.869028000000002
Bambous Virieux,75,MU,1585698668,94,-20.34,57.76,78.80000000000001,6.9121446
Qaanaaq,95,GL,1585698668,80,77.48,-69.36,5.630000000000042,4.1830778
Farafenni,27,GM,1585698669,21,13.57,-15.6,85.85600000000002,11.9452596
Rikitea,100,PF,1585698669,72,-23.12,-134.97,79.19600000000005,8.231939200000001
Mataura,12,NZ,1585698669,71,-46.19,168.86,62.99600000000005,1.9908766000000002
Vostok,84,RU,1585698670,68,46.49,135.88,32.54000000000002,4.9883762
Kapaa,40,US,1585698670,65,22.08,-159.32,78.80000000000001,10.289924
Ushuaia,40,AR,1585698517,76,-54.8,-68.3,48.2,12.750558000000002
Buala,86,SB,1585698671,71,-8.14,159.59,84.99199999999999,5.816044000000001
Balfour,100,ZA,1585698671,88,-26.66,28.59,62.00600000000003,2.7066974
Requena,75,ES,1585698672,93,39.49,-1.1,55.400000000000006,3.35541
Hermanus,34,ZA,1585698672,85,-34.42,19.23,60.998000000000026,2.9974996000000003
Muzhi,100,RU,1585698672,88,65.37,64.67,11.03000000000004,2.23694
Harper,57,LR,1585698672,83,4.38,-7.72,82.058,7.068730400000001
Hobart,20,AU,1585698491,67,-42.88,147.33,64.00400000000005,4.697574
Barrow,1,US,1585698673,66,71.29,-156.79,15.8,19.461378
Araguaína,100,BR,1585698673,78,-7.19,-48.21,77.46800000000009,4.966006800000001
Payson,75,US,1585698673,27,40.04,-111.73,66.2,3.35541
Ilulissat,99,GL,1585698673,71,69.22,-51.1,3.1999999999999993,17.224438000000003
Hithadhoo,64,MV,1585698674,67,-0.6,73.08,83.53399999999999,8.8582824
Shingū,75,JP,1585698674,77,33.73,135.98,62.6,4.697574
Esperance,18,AU,1585698675,100,-33.87,121.9,57.2,2.23694
Punta Arenas,75,CL,1585698596,71,-53.15,-70.92,51.8,8.052984
Longyearbyen,20,SJ,1585698676,83,78.22,15.64,-3.9999999999999503,2.23694
Carnarvon,98,AU,1585698676,82,-24.87,113.63,68.0,9.171454
Vila Velha,75,BR,1585698511,83,-20.33,-40.29,78.80000000000001,4.787051600000001
Busselton,99,AU,1585698676,73,-33.65,115.33,59.0,5.7936746
Misratah,0,LY,1585698676,74,32.38,15.09,59.97200000000004,8.1424616
Lata,20,PT,1585698677,87,40.16,-8.33,42.998000000000026,4.697574
Atar,100,MR,1585698677,26,20.52,-13.05,81.71600000000001,4.47388
Solnechnyy,12,RU,1585698677,64,50.72,136.63,34.80800000000001,7.5608572
Byron Bay,28,AU,1585698449,88,-28.65,153.62,78.80000000000001,9.171454
Sartana,47,UA,1585698677,70,47.17,37.7,39.254000000000055,14.316416000000002
Kaitangata,14,NZ,1585698678,76,-46.28,169.85,59.0,1.9908766000000002
Port Alfred,89,ZA,1585698678,81,-33.59,26.89,66.65,17.045482800000002
Hongjiang,0,CN,1585698678,72,27.11,110.0,55.31000000000009,0.9842536000000001
Puerto Escondido,40,MX,1585698679,84,15.85,-97.07,86.0,9.171454
Antsohihy,12,MG,1585698679,93,-14.88,47.99,75.74000000000002,1.0737312
Faanui,10,PF,1585698679,75,-16.48,-151.75,83.01200000000006,11.184700000000001
Bagdarin,19,RU,1585698679,71,54.43,113.6,27.482000000000017,7.4266408
New Norfolk,20,AU,1585698680,63,-42.78,147.06,64.00400000000005,2.23694
Korla,35,CN,1585698680,36,41.76,86.15,41.81000000000008,11.3860246
Vaini,40,TO,1585698680,74,-21.2,-175.2,84.2,9.171454
Port Augusta,100,AU,1585698589,77,-32.5,137.77,69.00800000000001,5.816044000000001
São Paulo de Olivença,97,BR,1585698680,93,-3.38,-68.87,76.1,1.7448132000000003
Hasaki,90,JP,1585698681,100,35.73,140.83,55.400000000000006,8.052984
Madimba,65,TZ,1585698681,82,-10.4,40.33,75.97400000000002,7.158208000000001
Avarua,75,CK,1585698681,79,-21.21,-159.78,87.80000000000001,9.171454
General Pico,97,AR,1585698681,84,-35.66,-63.76,67.26200000000006,9.6412114
Macusani,88,PE,1585698681,25,-14.08,-70.43,39.128000000000064,3.7580592
Saint-Philippe,3,RE,1585698682,78,-21.36,55.77,77.0,5.816044000000001
Mossendjo,99,CG,1585698683,87,-2.95,12.73,71.67200000000004,0.49212680000000003
George Town,20,MY,1585698684,88,5.41,100.34,82.4,3.35541
Butaritari,83,KI,1585698685,78,3.07,172.79,83.858,17.5823484
San Patricio,5,MX,1585698685,79,19.22,-104.7,84.2,11.408394
Dumas,1,US,1585698686,22,35.87,-101.97,73.4,14.987498000000002
Manyana,84,BW,1585698686,59,-23.4,21.72,64.76000000000008,4.4291412
Severo-Kuril'sk,100,RU,1585698686,86,50.68,156.12,35.81600000000001,15.0322368
Atuona,5,PF,1585698687,79,-9.8,-139.03,82.31000000000009,13.6005952
