City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,75,AU,2020-04-01,87,-42.78,147.06,60.00800000000001,2.23694
Busselton,98,AU,2020-04-01,48,-33.65,115.33,66.00200000000008,13.533487000000001
San Cristobal,75,VE,2020-04-01,88,7.77,-72.22,77.0,2.23694
Marzuq,9,YE,2020-04-01,26,14.4,46.47,87.7100000000001,13.958505600000002
Yinchuan,60,CN,2020-04-01,13,38.47,106.27,41.0,4.0041226000000005
Mataura,11,NZ,2020-04-01,87,-46.19,168.86,55.004000000000055,1.9908766000000002
Ushuaia,55,AR,2020-04-01,93,-54.8,-68.3,44.6,4.451510600000001
Bhusāval,0,IN,2020-04-01,12,21.05,75.77,101.35400000000006,11.2294388
Rocha,60,UY,2020-04-01,88,-34.48,-54.33,64.68800000000005,8.4780026
Hilo,90,US,2020-04-01,82,19.73,-155.09,68.0,5.816044000000001
Atuona,15,PF,2020-04-01,79,-9.8,-139.03,81.64400000000008,10.9386366
East London,75,ZA,2020-04-01,73,-33.02,27.91,69.80000000000001,8.052984
Faanui,43,PF,2020-04-01,76,-16.48,-151.75,82.56200000000007,11.4531328
Rikitea,89,PF,2020-04-01,76,-23.12,-134.97,78.22400000000002,7.918767600000001
Nishihara,75,JP,2020-04-01,67,26.18,127.76,64.4,10.289924
São Filipe,94,CV,2020-04-01,72,14.9,-24.5,75.97400000000002,13.7124422
Lebu,0,CL,2020-04-01,73,-37.62,-73.65,53.67200000000004,14.607218200000002
Abakaliki,88,NG,2020-04-01,45,6.32,8.12,96.31400000000004,5.905521600000001
Curitibanos,59,BR,2020-04-01,68,-27.28,-50.58,64.83200000000002,4.0936002
Souillac,75,MU,2020-04-01,79,-20.52,57.52,84.2,8.052984
Mar del Plata,90,AR,2020-04-01,100,-38.0,-57.56,66.00200000000008,4.697574
Cape Town,0,ZA,2020-04-01,36,-33.93,18.42,84.99199999999999,14.987498000000002
Albany,75,US,2020-04-01,64,42.6,-73.97,37.99400000000007,4.697574
Punta Arenas,40,CL,2020-04-01,81,-53.15,-70.92,44.6,9.171454
Sola,100,VU,2020-04-01,80,-13.88,167.55,80.88800000000005,12.4373864
Dikson,31,RU,2020-04-01,92,73.51,80.55,-3.531999999999968,10.782050800000002
Tupã,41,BR,2020-04-01,69,-21.93,-50.51,74.19200000000001,7.627965400000001
Nikolskoye,90,RU,2020-04-01,69,59.7,30.79,39.2,17.89552
Pak Thong Chai,77,TH,2020-04-01,35,14.72,102.03,98.00600000000003,4.2278166
Slave Lake,90,CA,2020-04-01,91,55.28,-114.77,3.1999999999999993,13.869028000000002
Curaçá,61,BR,2020-04-01,63,-8.99,-39.91,79.808,15.233561400000001
Port Alfred,87,ZA,2020-04-01,76,-33.59,26.89,71.99600000000005,1.006623
Narsaq,75,GL,2020-04-01,80,60.92,-46.05,32.0,2.7738056
Hirara,91,JP,2020-04-01,79,24.8,125.28,66.00200000000008,22.4141388
Vaini,75,TO,2020-04-01,94,-21.2,-175.2,73.4,3.35541
Jamestown,90,US,2020-04-01,93,42.1,-79.24,39.2,6.934514000000001
Bilma,44,NE,2020-04-01,8,18.69,12.92,104.28800000000005,2.7738056
Qaanaaq,97,GL,2020-04-01,81,77.48,-69.36,-5.421999999999933,10.8267896
Berlevåg,40,NO,2020-04-01,79,70.86,29.09,26.6,32.211936
Envira,100,BR,2020-04-01,93,-7.3,-70.22,72.87800000000007,1.8342908
Sa Kaeo,44,TH,2020-04-01,48,13.81,102.07,89.78000000000004,6.554234200000001
Barrow,90,US,2020-04-01,85,71.29,-156.79,14.0,12.750558000000002
Kandrian,94,PG,2020-04-01,82,-6.22,149.55,79.79000000000002,3.9817532000000004
Aklavik,5,CA,2020-04-01,46,68.22,-135.01,10.399999999999999,6.934514000000001
Yangi Marg`ilon,75,UZ,2020-04-01,55,40.43,71.72,60.8,20.803542000000004
Port Elizabeth,86,ZA,2020-04-01,53,-33.92,25.57,71.6,11.408394
Bethel,1,US,2020-04-01,74,41.37,-73.41,41.0,5.816044000000001
Ribeira Grande,75,PT,2020-04-01,72,38.52,-28.7,59.0,28.856526000000002
Tiksi,100,RU,2020-04-01,88,71.69,128.87,-4.287999999999947,3.8699062000000004
Hobart,75,AU,2020-04-01,87,-42.88,147.33,60.00800000000001,2.23694
Eureka,1,US,2020-04-01,80,40.8,-124.16,39.2,4.697574
Mahébourg,75,MU,2020-04-01,79,-20.41,57.7,84.2,8.052984
