City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,75,AU,2020-04-01,87,-42.78,147.06,60.00800000000001,2.23694
Busselton,98,AU,2020-04-01,48,-33.65,115.33,66.00200000000008,13.533487000000001
Mataura,11,NZ,2020-04-01,87,-46.19,168.86,55.004000000000055,1.9908766000000002
Ushuaia,55,AR,2020-04-01,93,-54.8,-68.3,44.6,4.451510600000001
Rocha,60,UY,2020-04-01,88,-34.48,-54.33,64.68800000000005,8.4780026
Atuona,15,PF,2020-04-01,79,-9.8,-139.03,81.64400000000008,10.9386366
East London,75,ZA,2020-04-01,73,-33.02,27.91,69.80000000000001,8.052984
Faanui,43,PF,2020-04-01,76,-16.48,-151.75,82.56200000000007,11.4531328
Rikitea,89,PF,2020-04-01,76,-23.12,-134.97,78.22400000000002,7.918767600000001
Lebu,0,CL,2020-04-01,73,-37.62,-73.65,53.67200000000004,14.607218200000002
Curitibanos,59,BR,2020-04-01,68,-27.28,-50.58,64.83200000000002,4.0936002
Souillac,75,MU,2020-04-01,79,-20.52,57.52,84.2,8.052984
Mar del Plata,90,AR,2020-04-01,100,-38.0,-57.56,66.00200000000008,4.697574
Cape Town,0,ZA,2020-04-01,36,-33.93,18.42,84.99199999999999,14.987498000000002
Punta Arenas,40,CL,2020-04-01,81,-53.15,-70.92,44.6,9.171454
Sola,100,VU,2020-04-01,80,-13.88,167.55,80.88800000000005,12.4373864
Tupã,41,BR,2020-04-01,69,-21.93,-50.51,74.19200000000001,7.627965400000001
Curaçá,61,BR,2020-04-01,63,-8.99,-39.91,79.808,15.233561400000001
Port Alfred,87,ZA,2020-04-01,76,-33.59,26.89,71.99600000000005,1.006623
Vaini,75,TO,2020-04-01,94,-21.2,-175.2,73.4,3.35541
Envira,100,BR,2020-04-01,93,-7.3,-70.22,72.87800000000007,1.8342908
Kandrian,94,PG,2020-04-01,82,-6.22,149.55,79.79000000000002,3.9817532000000004
Port Elizabeth,86,ZA,2020-04-01,53,-33.92,25.57,71.6,11.408394
Hobart,75,AU,2020-04-01,87,-42.88,147.33,60.00800000000001,2.23694
Mahébourg,75,MU,2020-04-01,79,-20.41,57.7,84.2,8.052984
Dunedin,30,NZ,2020-04-01,85,-45.87,170.5,53.99600000000005,5.4357642
Avarua,40,CK,2020-04-01,88,-21.21,-159.78,82.4,13.869028000000002
Madang,95,PG,2020-04-01,83,-5.22,145.8,79.66400000000004,3.8251674
Coyhaique,20,CL,2020-04-01,75,-45.58,-72.07,46.4,4.697574
Bluff,31,NZ,2020-04-01,87,-46.6,168.33,55.004000000000055,1.9908766000000002
Puerto Ayora,75,EC,2020-04-01,78,-0.74,-90.35,80.6,3.35541
Constitución,0,CL,2020-04-01,62,-35.33,-72.42,53.45600000000003,8.231939200000001
Cidreira,83,BR,2020-04-01,81,-30.18,-50.21,73.43600000000006,16.7994194
Lago da Pedra,98,BR,2020-04-01,84,-4.33,-45.17,80.09600000000006,2.7290668
Sechura,95,PE,2020-04-01,76,-5.56,-80.82,74.62400000000002,7.8963982
Matadi,98,CD,2020-04-01,67,-5.82,13.45,88.484,2.3935258000000004
Hermanus,16,ZA,2020-04-01,56,-34.42,19.23,80.00600000000003,11.989998400000001
Samarai,84,PG,2020-04-01,82,-10.62,150.67,80.34800000000003,7.672704200000001
Ambilobe,47,MG,2020-04-01,76,-13.2,49.05,84.93800000000005,5.704197
Kiama,75,AU,2020-04-01,100,-34.68,150.87,69.99800000000002,2.23694
Saint-Paul,75,RE,2020-04-01,66,-21.01,55.27,86.0,3.35541
Saint-Philippe,40,RE,2020-04-01,78,-21.36,55.77,86.0,8.052984
San Fernando del Valle de Catamarca,50,AR,2020-04-01,99,-28.47,-65.79,71.00600000000003,0.8052984
Bredasdorp,38,ZA,2020-04-01,40,-34.53,20.04,75.00200000000008,23.040482000000004
Byron Bay,40,AU,2020-04-01,100,-28.65,153.62,71.99600000000005,4.697574
Wewak,98,PG,2020-04-01,85,-3.55,143.63,80.65400000000005,10.804420200000001
Rio Branco,75,BR,2020-04-01,94,-9.97,-67.81,77.0,3.35541
Pimentel,75,PE,2020-04-01,29,-6.84,-79.93,66.2,6.3081708
Camaná,80,PE,2020-04-01,73,-16.62,-72.71,73.14800000000002,5.7265664
Tocopilla,40,CL,2020-04-01,43,-22.09,-70.2,75.7760000000001,2.7961750000000003
Jutaí,100,BR,2020-04-01,94,-5.18,-68.9,74.12000000000006,1.1855782000000001
